drntanguay	#AMIA2014 I'd like to change the Tutorials I signed up for. Anyone know how to do it?	Sun Nov 9 4:54:27 PST 2014   
pesharubinstein	#AMIA2014 #BWParty DJ I want to dance to Rock Steady, Aretha Franklin @AMIAinformatics #DataDancer	Sun Nov 9 7:53:54 PST 2014   
lennoxmi6140	#AMIA2014 @NSUMSBI ..attending http://t.co/bgvET9MLJd ..free time on Friday(11/14) evening.would love to meet fellow classmates	Sun Nov 9 13:54:07 PST 2014   
ckuziemsky	Great health informatics research being done at @Telfer_uOttawa that will be presented at #AMIA2014 http://t.co/KJtQg4MXLA	Mon Nov 10 4:59:05 PST 2014   
postersession	@AMIAinformatics conf starts 11/15 in DC. Have your printed your poster yet? Print here: http://t.co/8VwdrUMb1h #AMIA2014	Mon Nov 10 6:25:34 PST 2014   
wareflo	#EHR needs "computable model of clinical work [2] consult" @Ehrscience http://t.co/q0sWq7qCI7 #AMIA2014 totally agree http://t.co/inGtGqbZpU	Mon Nov 10 6:38:20 PST 2014   
uthealth_sbmi	We're gearing up for #AMIA2014 starting Saturday! Be sure to stop by booth 421 to say hello!	Mon Nov 10 6:45:26 PST 2014   
uthealth_sbmi	RT @AMIAinformatics: #AMIA2014 Tweet Challenge Black & White Party - http://t.co/TrxtnOt466	Mon Nov 10 7:21:32 PST 2014   
uthealth_sbmi	If you're attending #AMIA2014 make sure to use their Itinerary Planner to make the most of your time. http://t.co/GaQb8SFoFd	Mon Nov 10 7:31:00 PST 2014   
amiainformatics	@drntanguay Hi! Email Dasha@amia.org with your request to change tutorials #AMIA2014 See you soon!	Mon Nov 10 7:40:30 PST 2014   
amiainformatics	@jessiet1023 is stacking the deck! #AMIA2014 she knows what she wants on the dance floor #DataDancer	Mon Nov 10 7:46:55 PST 2014   
amiainformatics	We hear you #AMIA2014! Dangerous//Love Shack/I will survive/Pitbull-Timber/Walkin on Sunshine.#BWParty? #DataDancer	Mon Nov 10 7:51:05 PST 2014   
amiainformatics	#BWParty Tweet Challenge #AMIA2014 tell us your fav dance song http://t.co/COBUryWrZP	Mon Nov 10 7:51:53 PST 2014   
ehrscience	RT @wareFLO: #EHR needs "computable model of clinical work [2] consult" @Ehrscience http://t.co/q0sWq7qCI7 #AMIA2014 totally agree http://t…	Mon Nov 10 8:09:42 PST 2014   
uthealth_sbmi	You can download all #AMIA2014 session information ahead of time so you're prepared. http://t.co/ZDhYwRYmSE	Mon Nov 10 8:30:39 PST 2014   
uthealth_sbmi	You can help raise awareness of consumer health #informatics by participating in the #AMIA2014 Fun Run on 11/16 http://t.co/69Lzip7jjF	Mon Nov 10 9:20:16 PST 2014   
ukhip	RT @UTHealth_SBMI: You can help raise awareness of consumer health #informatics by participating in the #AMIA2014 Fun Run on 11/16 http://t…	Mon Nov 10 9:49:44 PST 2014   
gbmurg	RT @CKuziemsky: Great health informatics research being done at @Telfer_uOttawa that will be presented at #AMIA2014 http://t.co/KJtQg4MXLA	Mon Nov 10 9:54:19 PST 2014   
uthealth_sbmi	Read up on your #AMIA2014 keynote speakers. http://t.co/OXpyr63ZMl	Mon Nov 10 10:05:25 PST 2014   
wareflo	My new blog post: Updated Daily! #AMIA2014 Tweet Volume Visually Compared to Previous Years! http://t.co/MoFcKIWAC9 http://t.co/OzogOS1LeR	Mon Nov 10 11:04:53 PST 2014   
peterjmurray	RT @wareFLO: My new blog post: Updated Daily! #AMIA2014 Tweet Volume Visually Compared to Previous Years! http://t.co/MoFcKIWAC9 http://t.c…	Mon Nov 10 11:12:23 PST 2014   
uthealth_sbmi	Get ready for some of the best lunches in Washington D.C. #AMIA2014 http://t.co/7hiOHrxk00	Mon Nov 10 11:30:38 PST 2014   
katievukas	EHR Workflow Updated Daily! #AMIA2014 Tweet Volume Visually Compared to #AMIA2013, #AMIA2012, and #AM... http://t.co/pyFemNgstL @wareFLO	Mon Nov 10 11:47:18 PST 2014   
wareflo	RT @katievukas: EHR Workflow Updated Daily! #AMIA2014 Tweet Volume Visually Compared to #AMIA2013, #AMIA2012, and #AM... http://t.co/pyFemN…	Mon Nov 10 11:51:38 PST 2014   
uthealth_sbmi	Take some time to stop by the National Museum of Health and Medicine while in DC for #AMIA2014 http://t.co/nG3URB6FJ3	Mon Nov 10 12:02:29 PST 2014   
panthermoni	Follow the #AMIA2014 hashtag using @twubs at http://t.co/BH4r5AJF8u	Mon Nov 10 12:14:09 PST 2014   
uthealth_sbmi	Opening #AMIA2014 speaker Amy Abernathy gives a TEDMED talk: http://t.co/4GwncxLLZB	Mon Nov 10 13:10:13 PST 2014   
martinmarcou	“ESTENOPEICAS POR LA MEMORIA Y CONTRA LA IMPUNIDAD” AMIA 20 años - 1994 / 2004. Este miércoles 20hs en Pasteur 683 #AMIA2014 #Memoria #Dolor	Mon Nov 10 14:12:16 PST 2014   
kimkater	#wish2014 #amia2014	Mon Nov 10 15:59:39 PST 2014   
suchisaria	@Rock_Health Visit my panel at #AMIA2014 nov 17th on predictive analytics. Dr. Paul Tang will overview FDA SIA WG report on PA regulation.	Mon Nov 10 18:10:05 PST 2014   
wareflo	Will #AMIA2014 break 2500 tweets a day?! If so, which day? http://t.co/MoFcKIWAC9 I'm predicting Monday! http://t.co/MO5tsH5kh9	Tue Nov 11 5:36:02 PST 2014   
wareflo	Blah, blah, blah. Gonna tweet lots on #AMIA2014 in couple days. Yada. Yada. You know the drill. Sorry in advance and all that.... Cheers C	Tue Nov 11 6:10:48 PST 2014   
uthealth_sbmi	Get around Washington DC with ease during #AMIA2014 http://t.co/OrqzjhWVd1	Tue Nov 11 6:30:58 PST 2014   
uthealth_sbmi	@wareFLO I think we can all make it happen #AMIA2014	Tue Nov 11 6:47:38 PST 2014   
uthealth_sbmi	RT @wareFLO: Will #AMIA2014 break 2500 tweets a day?! If so, which day? http://t.co/MoFcKIWAC9 I'm predicting Monday! http://t.co/MO5tsH5kh9	Tue Nov 11 6:49:02 PST 2014   
wareflo	.@UTHealth_SBMI In fact, if we're only 50 tweets or so short of 2500 #AMIA2014 tweets a day, I think I may be able to help push it past!	Tue Nov 11 6:49:38 PST 2014   
wareflo	RT @UTHealth_SBMI: @wareFLO I think we can all make it happen #AMIA2014	Tue Nov 11 6:49:42 PST 2014   
ljkmmodal	RT @wareFLO: Will #AMIA2014 break 2500 tweets a day?! If so, which day? http://t.co/MoFcKIWAC9 I'm predicting Monday! http://t.co/MO5tsH5kh9	Tue Nov 11 7:10:16 PST 2014   
wareflo	Fascinating to see process-aware tech coming into healthcare embedded in #ECM #Imaging #social #mobile #analytics #cloud cc #AMIA2014 #BPM	Tue Nov 11 7:42:04 PST 2014   
cpmrcmichelle	@NurseBrain I will see you at #AMIA2014	Tue Nov 11 7:46:44 PST 2014   
cpmrcmichelle	RT @wareFLO: Will #AMIA2014 break 2500 tweets a day?! If so, which day? http://t.co/MoFcKIWAC9 I'm predicting Monday! http://t.co/MO5tsH5kh9	Tue Nov 11 7:47:32 PST 2014   
cpmrcmichelle	RT @CKuziemsky: Great health informatics research being done at @Telfer_uOttawa that will be presented at #AMIA2014 http://t.co/KJtQg4MXLA	Tue Nov 11 7:48:07 PST 2014   
uthealth_sbmi	There are so many great posters represented at #AMIA2014 http://t.co/KFMTk4tmdK	Tue Nov 11 7:50:22 PST 2014   
uthealth_sbmi	Which of these top Washington DC attractions will you be doing during #AMIA2014? http://t.co/jKQ4Jqzrwy	Tue Nov 11 8:20:35 PST 2014   
amiainformatics	RT @wareFLO: Will #AMIA2014 break 2500 tweets a day?! If so, which day? http://t.co/MoFcKIWAC9 I'm predicting Monday! http://t.co/MO5tsH5kh9	Tue Nov 11 9:14:07 PST 2014   
wareflo	.@AMIAinformatics Ha! I might help a bit, just to make sure, that #AMIA2014 surpasses 2500! To infinity & beyond! http://t.co/YlJTipdU6E	Tue Nov 11 9:18:21 PST 2014   
wareflo	.@AMIAinformatics TX4RT! BTW, as previously noted https://t.co/wrb6MdQ1F2 I'm impressed w/workflow at #AMIA2014 < mentioned in 15 abstracts!	Tue Nov 11 9:22:05 PST 2014   
ckuziemsky	@wareFLO I predict Sunday after the keynote and opening ceremonies #AMIA2014	Tue Nov 11 9:26:39 PST 2014   
wareflo	.@CKuziemsky Just don't see sufficient sunday year2year trend, but u could b right! Still betting Monday :) #AMIA2014 http://t.co/3gLEoQjODN	Tue Nov 11 9:31:11 PST 2014   
wareflo	RT @CKuziemsky: @wareFLO I predict Sunday after the keynote and opening ceremonies #AMIA2014	Tue Nov 11 9:31:17 PST 2014   
ajayshahresinfo	#ci4cc14 @CI4CC BioSpeciemen Informatics for Cancer Centers session #AMIA2014 may also find it helpful...	Tue Nov 11 9:40:59 PST 2014   
uthealth_sbmi	Don't miss a chance to see the expansive Smithsonian Institute during #AMIA2014 http://t.co/pT3u6x3kPd	Tue Nov 11 9:50:17 PST 2014   
ci4cc	RT @ajayshahResInfo: #ci4cc14 @CI4CC BioSpeciemen Informatics for Cancer Centers session #AMIA2014 may also find it helpful...	Tue Nov 11 9:57:21 PST 2014   
uthealth_sbmi	This year #AMIA2014 attendees are invited to stay at the beautiful Washington Hilton hotel. http://t.co/edzmpqhv5O	Tue Nov 11 10:05:25 PST 2014   
ckuziemsky	@wareFLO We'll see Sunday night. I'm predicting people will Tweet hard from the get go! #AMIA2014	Tue Nov 11 10:07:03 PST 2014   
wareflo	@CKuziemsky I hope so! I hope I'm wrong, and #AMIA2014 surpasses 2500 on Sunday AND 3000 ON MONDAY! :)	Tue Nov 11 10:13:04 PST 2014   
wareflo	RT @CKuziemsky: @wareFLO We'll see Sunday night. I'm predicting people will Tweet hard from the get go! #AMIA2014	Tue Nov 11 11:05:21 PST 2014   
amiainformatics	#AMIA2014 is gathering the tribe! Attendees/AMIA members login and get the big megillah proceedings http://t.co/hnk0OJxfcI (2012 p)	Tue Nov 11 11:45:04 PST 2014   
uthealth_sbmi	There are dozens of exhibitors represented at #AMIA2014 - make sure you stop by booth 421 to say hello to #SBMI!	Tue Nov 11 11:50:24 PST 2014   
hwcir	RT @AMIAinformatics: #AMIA2014 is gathering the tribe! Attendees/AMIA members login and get the big megillah proceedings http://t.co/hnk0OJ…	Tue Nov 11 11:54:47 PST 2014   
wareflo	+1 > 'workflow' mentioned 1654 times in #AMIA2014 2012 page proceeding http://t.co/AbT9tRjXBB seeing some workflow tech related papers #BPM	Tue Nov 11 12:00:44 PST 2014   
wareflo	RT @AMIAinformatics: #AMIA2014 is gathering the tribe! Attendees/AMIA members login and get the big megillah proceedings http://t.co/hnk0OJ…	Tue Nov 11 12:00:48 PST 2014   
wareflo	Skimmed #AMIA2014 2012 page proceedings: 5 papers mention Business Process Management #BPM (only 1 from US authors) http://t.co/d6ajJWb0VY	Tue Nov 11 12:29:39 PST 2014   
newsdatascience	RT @wareFLO: Skimmed #AMIA2014 2012 page proceedings: 5 papers mention Business Process Management #BPM (only 1 from US authors) http://t.c…	Tue Nov 11 12:36:20 PST 2014   
amiainformatics	Don't be shy #AMIA2014 you can dance like no one's watching at #BWParty http://t.co/COBUryWrZP Tweet it #DataDancer Fav dance songs?	Tue Nov 11 13:14:42 PST 2014   
uthealth_sbmi	Join the health care revolution at #SBMI. Apply today and then say hello to us at #AMIA2014! http://t.co/ieKoYVyNeM #healthit #hit	Tue Nov 11 13:55:14 PST 2014   
wareflo	Funny how #AMIA2014 researchers use #BPMN (Business Process Model & Notation) to describe processes but don't execute it w/workflow engines!	Tue Nov 11 16:31:14 PST 2014   
mrcutah	RT @AMIAinformatics: #AMIA2014 is gathering the tribe! Attendees/AMIA members login and get the big megillah proceedings http://t.co/hnk0OJ…	Tue Nov 11 17:07:19 PST 2014   
sairanhaque	@KBJVanderbilt Did not know that- will use at #AMIA2014 this year. Thanks for the tip!	Tue Nov 11 17:47:09 PST 2014   
sairanhaque	@CKuziemsky @wareFLO Why not Sunday AND Monday? :) #AMIA2014	Tue Nov 11 17:49:33 PST 2014   
wareflo	.@SairaNHaque @CKuziemsky Logically? Possible! But I'm making a prediction! Monday. 2,500+ After all, I tweet... #AMIA2014	Tue Nov 11 17:59:53 PST 2014   
wareflo	RT @SairaNHaque: @CKuziemsky @wareFLO Why not Sunday AND Monday? :) #AMIA2014	Tue Nov 11 17:59:58 PST 2014   
emr_rn1	Updated Daily! #AMIA2014 Tweet Volume Visually Compared to #AMIA2013, #AMIA2012, and #AMIA2011 Tweet Volumes - http://t.co/pUgncPoiI0 2014’…	Tue Nov 11 20:50:09 PST 2014   
pedssurgery	"@wareFLO: Will #AMIA2014 break 2500 tweets a day?! If so, which day? http://t.co/esYgHwaIi6 " I am glad because I cannot go this year!	Wed Nov 12 3:19:54 PST 2014   
wareflo	.@pedssurgery re that, my #AMIA2012 Trip Report: Best Conference I (N)ever Attended http://t.co/fDshSFaOnk #AMIA2014 http://t.co/KRWzsuNpzF	Wed Nov 12 4:48:38 PST 2014   
wareflo	RT @pedssurgery: "@wareFLO: Will #AMIA2014 break 2500 tweets a day?! If so, which day? http://t.co/esYgHwaIi6 " I am glad because I cannot …	Wed Nov 12 4:48:42 PST 2014   
wareflo	.@nicolasterry @Farzad_MD @rvaughnmd @FierceHealthIT TX4RT! PS Sharing ur excellent @intWATCHsociety slide! #AMIA2014 http://t.co/2M9lmRxlFm	Wed Nov 12 5:40:04 PST 2014   
wareflo	.@jimmie_vanagon @Farzad_MD @rvaughnmd @FierceHealthIT TX4RT we've similar emphases re #EHR workflow visibility CC #AMIA2014 > #projectedEHR	Wed Nov 12 5:45:25 PST 2014   
wareflo	That much money, that much potential 4 regulatory capture, that much workflow-oblivious #HealthIT product 2 move :( #MeaningfulUse #AMIA2014	Wed Nov 12 5:50:03 PST 2014   
